,Reports,Count,,Year,Sightings,,,,Decade,Sightings
1953,Sep-53,2,,,,,,,,
1953,Aug-53,7,,,,,,,,
1953,Jul-53,8,,,,,,,,
1953,Jun-53,12,,,,,,,,
1953,May-53,2,,,,,,,,
1953,Apr-53,6,,,,,,,,
1953,Mar-53,1,,,,,,,,
1953,Jan-53,2,,,,,,,,
1952,Dec-52,3,,,,,,,,
1952,Oct-52,5,,,,,,,,
1952,Sep-52,3,,,,,,,,
1952,Aug-52,5,,,,,,,,
1952,Jul-52,17,,,,,,,,
1952,Jun-52,27,,,,,,,,
1952,May-52,2,,,,,,,,
1952,Apr-52,2,,,,,,,,
1952,Feb-52,2,,,,,,,,
1952,Jan-52,1,,,,,,,,
1951,Dec-51,1,,,,,,,,
1951,Nov-51,1,,,,,,,,
1951,Oct-51,1,,,,,,,,
1951,Aug-51,3,,,,,,,,
1951,Jul-51,8,,,,,,,,
1951,Jun-51,9,,,,,,,,
1951,May-51,1,,,,,,,,
1951,Apr-51,1,,,,,,,,
1951,Mar-51,1,,,,,,,,
1951,Feb-51,3,,,,,,,,
1951,Jan-51,1,,,,,,,,
1950,Dec-50,1,,,,,,,,
1950,Oct-50,2,,,,,,,,
1950,Sep-50,1,,,,,,,,
1950,Aug-50,3,,,,,,,,
1950,Jul-50,8,,,,,,,,
1950,Jun-50,18,,,,,,,,
1950,May-50,2,,,,,,,,
1950,Apr-50,3,,,,,,,,
1950,Mar-50,1,,,,,,,,
1950,Jan-50,2,,,,,,,,
1949,Dec-49,1,,,,,,,,
1949,Oct-49,3,,,,,,,,
1949,Sep-49,2,,,,,,,,
1949,Aug-49,5,,,,,,,,
1949,Jul-49,3,,,,,,,,
1949,Jun-49,6,,,,,,,,
1949,May-49,2,,,,,,,,
1949,Apr-49,1,,,,,,,,
1948,Dec-48,1,,,,,,,,
1948,Nov-48,1,,,,,,,,
1948,Aug-48,2,,,,,,,,
1948,Jul-48,1,,,,,,,,
1948,Jun-48,7,,,,,,,,
1948,May-48,1,,,,,,,,
1948,Apr-48,1,,,,,,,,
1947,Dec-47,1,,,,,,,,
1947,Oct-47,3,,,,,,,,
1947,Aug-47,5,,,,,,,,
1947,Jul-47,22,,,,,,,,
1947,Jun-47,14,,,,,,,,
1947,Apr-47,2,,,,,,,,
1947,Feb-47,1,,,,,,,,
1947,Jan-47,3,,,,,,,,
1946,Dec-46,1,,,,,,,,
1946,Sep-46,2,,,,,,,,
1946,Jul-46,2,,,,,,,,
1946,Jun-46,4,,,,,,,,
1946,May-46,1,,,,,,,,
1946,Mar-46,1,,,,,,,,
1946,Feb-46,1,,,,,,,,
1946,Jan-46,1,,,,,,,,
1945,Dec-45,1,,,,,,,,
1945,Aug-45,2,,,,,,,,
1945,Jul-45,2,,,,,,,,
1945,Jun-45,7,,,,,,,,
1945,May-45,1,,,,,,,,
1945,Apr-45,1,,,,,,,,
1945,Jan-45,1,,,,,,,,
1944,Sep-44,1,,,,,,,,
1944,Aug-44,1,,,,,,,,
1944,Jul-44,2,,,,,,,,
1944,Jun-44,4,,,,,,,,
1944,Apr-44,2,,,,,,,,
1944,Mar-44,1,,,,,,,,
1944,Jan-44,3,,,,,,,,
1943,Oct-43,1,,,,,,,,
1943,Sep-43,1,,,,,,,,
1943,Aug-43,3,,,,,,,,
1943,Jun-43,3,,,,,,,,
1943,Apr-43,1,,,,,,,,
1943,Jan-43,1,,,,,,,,
1942,Nov-42,1,,,,,,,,
1942,Jul-42,1,,,,,,,,
1942,Jun-42,1,,,,,,,,
1942,Feb-42,4,,,,,,,,
1941,Jul-41,2,,,,,,,,
1941,Jun-41,2,,,,,,,,
1940,Aug-40,1,,,,,,,,
1940,Jun-40,1,,,,,,,,
1939,Jul-39,1,,,,,,,,
1939,Jun-39,2,,,,,,,,
1938,Jun-38,1,,,,,,,,
1937,Aug-37,1,,,,,,,,
1937,Jun-37,2,,,,,,,,
1936,Oct-36,1,,,,,,,,
1936,Sep-36,1,,,,,,,,
1936,Jul-36,1,,,,,,,,
1935,Jun-35,1,,,,,,,,
1934,Sep-34,1,,,,,,,,
1933,Apr-33,1,,,,,,,,
1932,Oct-32,1,,,,,,,,
1932,Feb-32,1,,,,,,,,
1931,Jun-31,1,,,,,,,,
1931,Feb-31,1,,,,,,,,
1930,30-Aug,1,,,,,,,,
1930,30-Jun,4,,,,,,,,
1929,29-Jul,1,,,,,,,,
1929,29-Jan,1,,,,,,,,
1928,28-Jul,1,,,,,,,,
1925,25-Dec,1,,,,,,,,
1922,22-Dec,1,,,,,,,,
1920,20-Aug,1,,,,,,,,
1920,20-Jun,2,,,,,,,,
1918,18-Jun,1,,,,,,,,
1917,17-Oct,2,,,,,,,,
1916,16-Apr,1,,,,,,,,
1914,14-Dec,1,,,,,,,,
1914,14-Sep,1,,,,,,,,
1910,10-Jun,1,,,,,,,,
1910,10-May,1,,,,,,,,
1910,10-Jan,1,,,,,,,,
1907,7-Jun,1,,,,,,,,
1906,6-Nov,1,,,,,,,,
1905,5-Jul,2,,,,,,,,
#VALUE!,06/1899,1,,,,,,,,
#VALUE!,06/1898,1,,,,,,,,
#VALUE!,04/1897,2,,,,,,,,
#VALUE!,06/1896,1,,,,,,,,
#VALUE!,10/1886,1,,,,,,,,
#VALUE!,12/1880,1,,,,,,,,
#VALUE!,06/1871,1,,,,,,,,
#VALUE!,06/1865,1,,,,,,,,
#VALUE!,05/1864,2,,,,,,,,
#VALUE!,03/1861,1,,,,,,,,
#VALUE!,08/1860,1,,,,,,,,
#VALUE!,04/1800,1,,,,,,,,
#VALUE!,06/1790,1,,,,,,,,
#VALUE!,12/1762,1,,,,,,,,
#VALUE!,02/1721,1,,,,,,,,
#VALUE!,09/1639,1,,,,,,,,
#VALUE!,04/1561,2,,,,,,,,
#VALUE!,06/1400,1,,,,,,,,
#VALUE!,UNSPECIFIED / APPROXIMATE,377,,,,,,,,
